UID,Base,Points,FullCode
26,99,5,C0026099005
27,99,5,C0027099005
28,99,5,C0028099005
29,99,5,C0029099005
30,99,5,C0030099005
31,99,5,C0031099005
32,99,5,C0032099005
33,99,5,C0033099005
34,99,5,C0034099005
35,99,5,C0035099005
36,99,5,C0036099005
37,99,5,C0037099005
38,99,5,C0038099005
39,99,5,C0039099005
40,99,5,C0040099005
41,99,5,C0041099005
42,99,5,C0042099005
43,99,5,C0043099005
44,99,5,C0044099005
45,99,5,C0045099005
46,99,5,C0046099005
47,99,5,C0047099005
48,99,5,C0048099005
49,99,5,C0049099005
50,99,5,C0050099005
51,99,5,C0051099005
52,99,5,C0052099005
53,99,5,C0053099005
54,99,5,C0054099005
55,99,5,C0055099005
56,99,5,C0056099005
57,99,5,C0057099005
58,99,5,C0058099005
59,99,5,C0059099005
60,99,5,C0060099005
61,99,5,C0061099005
62,99,5,C0062099005
63,99,5,C0063099005
64,99,5,C0064099005
65,99,5,C0065099005
66,99,5,C0066099005
67,99,5,C0067099005
68,99,5,C0068099005
69,99,5,C0069099005
70,99,5,C0070099005
71,99,5,C0071099005
72,99,5,C0072099005
73,99,5,C0073099005
74,99,5,C0074099005
75,99,5,C0075099005
76,99,5,C0076099005
77,99,5,C0077099005
78,99,5,C0078099005
79,99,5,C0079099005
80,99,5,C0080099005
1,99,9,C0001099009
2,99,9,C0002099009
3,99,9,C0003099009
4,99,9,C0004099009
5,99,9,C0005099009
6,99,9,C0006099009
7,99,9,C0007099009
8,99,9,C0008099009
9,99,9,C0009099009
10,99,9,C0010099009
11,99,9,C0011099009
12,99,9,C0012099009
13,99,9,C0013099009
14,99,9,C0014099009
15,99,9,C0015099009
16,99,9,C0016099009
17,99,9,C0017099009
18,99,9,C0018099009
19,99,9,C0019099009
20,99,9,C0020099009
21,99,9,C0021099009
22,99,9,C0022099009
23,99,9,C0023099009
24,99,9,C0024099009
25,99,9,C0025099009
26,99,9,C0026099009
27,99,9,C0027099009
28,99,9,C0028099009
29,99,9,C0029099009
30,99,9,C0030099009
31,99,9,C0031099009
32,99,9,C0032099009
33,99,9,C0033099009
34,99,9,C0034099009
35,99,9,C0035099009
36,99,9,C0036099009
37,99,9,C0037099009
38,99,9,C0038099009
39,99,9,C0039099009
40,99,9,C0040099009
41,99,9,C0041099009
42,99,9,C0042099009
43,99,9,C0043099009
44,99,9,C0044099009
45,99,9,C0045099009
46,99,9,C0046099009
47,99,9,C0047099009
48,99,9,C0048099009
49,99,9,C0049099009
50,99,9,C0050099009
51,99,9,C0051099009
52,99,9,C0052099009
53,99,9,C0053099009
54,99,9,C0054099009
55,99,9,C0055099009
56,99,9,C0056099009
57,99,9,C0057099009
58,99,9,C0058099009
59,99,9,C0059099009
60,99,9,C0060099009
61,99,9,C0061099009
62,99,9,C0062099009
63,99,9,C0063099009
64,99,9,C0064099009
65,99,9,C0065099009
66,99,9,C0066099009
67,99,9,C0067099009
68,99,9,C0068099009
69,99,9,C0069099009
70,99,9,C0070099009
71,99,9,C0071099009
72,99,9,C0072099009
73,99,9,C0073099009
74,99,9,C0074099009
75,99,9,C0075099009
76,99,9,C0076099009
77,99,9,C0077099009
78,99,9,C0078099009
79,99,9,C0079099009
80,99,9,C0080099009
1,99,7,C0001099007
2,99,7,C0002099007
3,99,7,C0003099007
4,99,7,C0004099007
5,99,7,C0005099007
6,99,7,C0006099007
7,99,7,C0007099007
8,99,7,C0008099007
9,99,7,C0009099007
10,99,7,C0010099007
11,99,7,C0011099007
12,99,7,C0012099007
13,99,7,C0013099007
14,99,7,C0014099007
15,99,7,C0015099007
16,99,7,C0016099007
17,99,7,C0017099007
18,99,7,C0018099007
19,99,7,C0019099007
20,99,7,C0020099007
21,99,7,C0021099007
22,99,7,C0022099007
23,99,7,C0023099007
24,99,7,C0024099007
25,99,7,C0025099007
26,99,7,C0026099007
27,99,7,C0027099007
28,99,7,C0028099007
29,99,7,C0029099007
30,99,7,C0030099007
31,99,7,C0031099007
32,99,7,C0032099007
33,99,7,C0033099007
34,99,7,C0034099007
35,99,7,C0035099007
36,99,7,C0036099007
37,99,7,C0037099007
38,99,7,C0038099007
39,99,7,C0039099007
40,99,7,C0040099007
41,99,7,C0041099007
42,99,7,C0042099007
43,99,7,C0043099007
44,99,7,C0044099007
45,99,7,C0045099007
46,99,7,C0046099007
47,99,7,C0047099007
48,99,7,C0048099007
49,99,7,C0049099007
50,99,7,C0050099007
51,99,7,C0051099007
52,99,7,C0052099007
53,99,7,C0053099007
54,99,7,C0054099007
55,99,7,C0055099007
56,99,7,C0056099007
57,99,7,C0057099007
58,99,7,C0058099007
59,99,7,C0059099007
60,99,7,C0060099007
61,99,7,C0061099007
62,99,7,C0062099007
63,99,7,C0063099007
64,99,7,C0064099007
65,99,7,C0065099007
66,99,7,C0066099007
67,99,7,C0067099007
68,99,7,C0068099007
69,99,7,C0069099007
70,99,7,C0070099007
71,99,7,C0071099007
72,99,7,C0072099007
73,99,7,C0073099007
74,99,7,C0074099007
75,99,7,C0075099007
76,99,7,C0076099007
77,99,7,C0077099007
78,99,7,C0078099007
79,99,7,C0079099007
80,99,7,C0080099007
1,1,10,C0001001010
2,1,10,C0002001010
3,1,10,C0003001010
4,1,10,C0004001010
5,1,10,C0005001010
6,1,10,C0006001010
7,1,10,C0007001010
8,1,10,C0008001010
9,1,10,C0009001010
10,1,10,C0010001010
11,1,10,C0011001010
12,1,10,C0012001010
13,1,10,C0013001010
14,1,10,C0014001010
15,1,10,C0015001010
16,1,10,C0016001010
17,1,10,C0017001010
18,1,10,C0018001010
19,1,10,C0019001010
20,1,10,C0020001010
21,1,10,C0021001010
22,1,10,C0022001010
23,1,10,C0023001010
24,1,10,C0024001010
25,1,10,C0025001010
26,1,10,C0026001010
27,1,10,C0027001010
28,1,10,C0028001010
29,1,10,C0029001010
30,1,10,C0030001010
31,1,10,C0031001010
32,1,10,C0032001010
33,1,10,C0033001010
34,1,10,C0034001010
35,1,10,C0035001010
36,1,10,C0036001010
37,1,10,C0037001010
38,1,10,C0038001010
39,1,10,C0039001010
40,1,10,C0040001010
41,1,10,C0041001010
42,1,10,C0042001010
43,1,10,C0043001010
44,1,10,C0044001010
45,1,10,C0045001010
46,1,10,C0046001010
47,1,10,C0047001010
48,1,10,C0048001010
49,1,10,C0049001010
50,1,10,C0050001010
51,1,10,C0051001010
52,1,10,C0052001010
53,1,10,C0053001010
54,1,10,C0054001010
55,1,10,C0055001010
56,1,10,C0056001010
57,1,10,C0057001010
58,1,10,C0058001010
59,1,10,C0059001010
60,1,10,C0060001010
61,1,10,C0061001010
62,1,10,C0062001010
63,1,10,C0063001010
64,1,10,C0064001010
65,1,10,C0065001010
66,1,10,C0066001010
67,1,10,C0067001010
68,1,10,C0068001010
69,1,10,C0069001010
70,1,10,C0070001010
71,1,10,C0071001010
72,1,10,C0072001010
73,1,10,C0073001010
74,1,10,C0074001010
75,1,10,C0075001010
76,1,10,C0076001010
77,1,10,C0077001010
78,1,10,C0078001010
79,1,10,C0079001010
80,1,10,C0080001010
81,1,10,C0081001010
82,1,10,C0082001010
83,1,10,C0083001010
84,1,10,C0084001010
85,1,10,C0085001010
86,1,10,C0086001010
87,1,10,C0087001010
88,1,10,C0088001010
89,1,10,C0089001010
90,1,10,C0090001010
91,1,10,C0091001010
92,1,10,C0092001010
93,1,10,C0093001010
94,1,10,C0094001010
95,1,10,C0095001010
96,1,10,C0096001010
97,1,10,C0097001010
98,1,10,C0098001010
99,1,10,C0099001010
100,1,10,C0100001010
101,1,10,C0101001010
102,1,10,C0102001010
103,1,10,C0103001010
104,1,10,C0104001010
105,1,10,C0105001010
106,1,10,C0106001010
107,1,10,C0107001010
108,1,10,C0108001010
109,1,10,C0109001010
110,1,10,C0110001010
111,1,10,C0111001010
112,1,10,C0112001010
113,1,10,C0113001010
114,1,10,C0114001010
115,1,10,C0115001010
116,1,10,C0116001010
117,1,10,C0117001010
118,1,10,C0118001010
119,1,10,C0119001010
120,1,10,C0120001010
121,1,10,C0121001010
122,1,10,C0122001010
123,1,10,C0123001010
124,1,10,C0124001010
125,1,10,C0125001010
126,1,10,C0126001010
127,1,10,C0127001010
128,1,10,C0128001010
129,1,10,C0129001010
130,1,10,C0130001010
131,1,10,C0131001010
132,1,10,C0132001010
133,1,10,C0133001010
134,1,10,C0134001010
135,1,10,C0135001010
136,1,10,C0136001010
137,1,10,C0137001010
138,1,10,C0138001010
139,1,10,C0139001010
140,1,10,C0140001010
1,1,20,C0001001020
2,1,20,C0002001020
3,1,20,C0003001020
4,1,20,C0004001020
5,1,20,C0005001020
6,1,20,C0006001020
7,1,20,C0007001020
8,1,20,C0008001020
9,1,20,C0009001020
10,1,20,C0010001020
11,1,20,C0011001020
12,1,20,C0012001020
13,1,20,C0013001020
14,1,20,C0014001020
15,1,20,C0015001020
16,1,20,C0016001020
17,1,20,C0017001020
18,1,20,C0018001020
19,1,20,C0019001020
20,1,20,C0020001020
21,1,20,C0021001020
22,1,20,C0022001020
23,1,20,C0023001020
24,1,20,C0024001020
25,1,20,C0025001020
26,1,20,C0026001020
27,1,20,C0027001020
28,1,20,C0028001020
29,1,20,C0029001020
30,1,20,C0030001020
31,1,20,C0031001020
32,1,20,C0032001020
33,1,20,C0033001020
34,1,20,C0034001020
35,1,20,C0035001020
36,1,20,C0036001020
37,1,20,C0037001020
38,1,20,C0038001020
39,1,20,C0039001020
40,1,20,C0040001020
41,1,20,C0041001020
42,1,20,C0042001020
43,1,20,C0043001020
44,1,20,C0044001020
45,1,20,C0045001020
46,1,20,C0046001020
47,1,20,C0047001020
48,1,20,C0048001020
49,1,20,C0049001020
50,1,20,C0050001020
51,1,20,C0051001020
52,1,20,C0052001020
53,1,20,C0053001020
54,1,20,C0054001020
55,1,20,C0055001020
56,1,20,C0056001020
57,1,20,C0057001020
58,1,20,C0058001020
59,1,20,C0059001020
60,1,20,C0060001020
61,1,20,C0061001020
62,1,20,C0062001020
63,1,20,C0063001020
64,1,20,C0064001020
65,1,20,C0065001020
66,1,20,C0066001020
67,1,20,C0067001020
68,1,20,C0068001020
69,1,20,C0069001020
70,1,20,C0070001020
71,1,20,C0071001020
72,1,20,C0072001020
73,1,20,C0073001020
74,1,20,C0074001020
75,1,20,C0075001020
76,1,20,C0076001020
77,1,20,C0077001020
78,1,20,C0078001020
79,1,20,C0079001020
80,1,20,C0080001020
81,1,20,C0081001020
82,1,20,C0082001020
83,1,20,C0083001020
84,1,20,C0084001020
85,1,20,C0085001020
86,1,20,C0086001020
87,1,20,C0087001020
88,1,20,C0088001020
89,1,20,C0089001020
90,1,20,C0090001020
91,1,20,C0091001020
92,1,20,C0092001020
93,1,20,C0093001020
94,1,20,C0094001020
95,1,20,C0095001020
96,1,20,C0096001020
97,1,20,C0097001020
98,1,20,C0098001020
99,1,20,C0099001020
100,1,20,C0100001020
101,1,20,C0101001020
102,1,20,C0102001020
103,1,20,C0103001020
104,1,20,C0104001020
105,1,20,C0105001020
106,1,20,C0106001020
107,1,20,C0107001020
108,1,20,C0108001020
109,1,20,C0109001020
110,1,20,C0110001020
111,1,20,C0111001020
112,1,20,C0112001020
113,1,20,C0113001020
114,1,20,C0114001020
115,1,20,C0115001020
116,1,20,C0116001020
117,1,20,C0117001020
118,1,20,C0118001020
119,1,20,C0119001020
120,1,20,C0120001020
121,1,20,C0121001020
122,1,20,C0122001020
123,1,20,C0123001020
124,1,20,C0124001020
125,1,20,C0125001020
126,1,20,C0126001020
127,1,20,C0127001020
128,1,20,C0128001020
129,1,20,C0129001020
130,1,20,C0130001020
131,1,20,C0131001020
132,1,20,C0132001020
133,1,20,C0133001020
134,1,20,C0134001020
135,1,20,C0135001020
136,1,20,C0136001020
137,1,20,C0137001020
138,1,20,C0138001020
139,1,20,C0139001020
140,1,20,C0140001020
1,2,10,C0001002010
2,2,10,C0002002010
3,2,10,C0003002010
4,2,10,C0004002010
5,2,10,C0005002010
6,2,10,C0006002010
7,2,10,C0007002010
8,2,10,C0008002010
9,2,10,C0009002010
10,2,10,C0010002010
11,2,10,C0011002010
12,2,10,C0012002010
13,2,10,C0013002010
14,2,10,C0014002010
15,2,10,C0015002010
16,2,10,C0016002010
17,2,10,C0017002010
18,2,10,C0018002010
19,2,10,C0019002010
20,2,10,C0020002010
21,2,10,C0021002010
22,2,10,C0022002010
23,2,10,C0023002010
24,2,10,C0024002010
25,2,10,C0025002010
26,2,10,C0026002010
27,2,10,C0027002010
28,2,10,C0028002010
29,2,10,C0029002010
30,2,10,C0030002010
31,2,10,C0031002010
32,2,10,C0032002010
33,2,10,C0033002010
34,2,10,C0034002010
35,2,10,C0035002010
36,2,10,C0036002010
37,2,10,C0037002010
38,2,10,C0038002010
39,2,10,C0039002010
40,2,10,C0040002010
41,2,10,C0041002010
42,2,10,C0042002010
43,2,10,C0043002010
44,2,10,C0044002010
45,2,10,C0045002010
46,2,10,C0046002010
47,2,10,C0047002010
48,2,10,C0048002010
49,2,10,C0049002010
50,2,10,C0050002010
51,2,10,C0051002010
52,2,10,C0052002010
53,2,10,C0053002010
54,2,10,C0054002010
55,2,10,C0055002010
56,2,10,C0056002010
57,2,10,C0057002010
58,2,10,C0058002010
59,2,10,C0059002010
60,2,10,C0060002010
61,2,10,C0061002010
62,2,10,C0062002010
63,2,10,C0063002010
64,2,10,C0064002010
65,2,10,C0065002010
66,2,10,C0066002010
67,2,10,C0067002010
68,2,10,C0068002010
69,2,10,C0069002010
70,2,10,C0070002010
71,2,10,C0071002010
72,2,10,C0072002010
73,2,10,C0073002010
74,2,10,C0074002010
75,2,10,C0075002010
76,2,10,C0076002010
77,2,10,C0077002010
78,2,10,C0078002010
79,2,10,C0079002010
80,2,10,C0080002010
81,2,10,C0081002010
82,2,10,C0082002010
83,2,10,C0083002010
84,2,10,C0084002010
85,2,10,C0085002010
86,2,10,C0086002010
87,2,10,C0087002010
88,2,10,C0088002010
89,2,10,C0089002010
90,2,10,C0090002010
91,2,10,C0091002010
92,2,10,C0092002010
93,2,10,C0093002010
94,2,10,C0094002010
95,2,10,C0095002010
96,2,10,C0096002010
97,2,10,C0097002010
98,2,10,C0098002010
99,2,10,C0099002010
100,2,10,C0100002010
101,2,10,C0101002010
102,2,10,C0102002010
103,2,10,C0103002010
104,2,10,C0104002010
105,2,10,C0105002010
106,2,10,C0106002010
107,2,10,C0107002010
108,2,10,C0108002010
109,2,10,C0109002010
110,2,10,C0110002010
111,2,10,C0111002010
112,2,10,C0112002010
113,2,10,C0113002010
114,2,10,C0114002010
115,2,10,C0115002010
116,2,10,C0116002010
117,2,10,C0117002010
118,2,10,C0118002010
119,2,10,C0119002010
120,2,10,C0120002010
121,2,10,C0121002010
122,2,10,C0122002010
123,2,10,C0123002010
124,2,10,C0124002010
125,2,10,C0125002010
126,2,10,C0126002010
127,2,10,C0127002010
128,2,10,C0128002010
129,2,10,C0129002010
130,2,10,C0130002010
131,2,10,C0131002010
132,2,10,C0132002010
133,2,10,C0133002010
134,2,10,C0134002010
135,2,10,C0135002010
136,2,10,C0136002010
137,2,10,C0137002010
138,2,10,C0138002010
139,2,10,C0139002010
140,2,10,C0140002010
1,2,20,C0001002020
2,2,20,C0002002020
3,2,20,C0003002020
4,2,20,C0004002020
5,2,20,C0005002020
6,2,20,C0006002020
7,2,20,C0007002020
8,2,20,C0008002020
9,2,20,C0009002020
10,2,20,C0010002020
11,2,20,C0011002020
12,2,20,C0012002020
13,2,20,C0013002020
14,2,20,C0014002020
15,2,20,C0015002020
16,2,20,C0016002020
17,2,20,C0017002020
18,2,20,C0018002020
19,2,20,C0019002020
20,2,20,C0020002020
21,2,20,C0021002020
22,2,20,C0022002020
23,2,20,C0023002020
24,2,20,C0024002020
25,2,20,C0025002020
26,2,20,C0026002020
27,2,20,C0027002020
28,2,20,C0028002020
29,2,20,C0029002020
30,2,20,C0030002020
31,2,20,C0031002020
32,2,20,C0032002020
33,2,20,C0033002020
34,2,20,C0034002020
35,2,20,C0035002020
36,2,20,C0036002020
37,2,20,C0037002020
38,2,20,C0038002020
39,2,20,C0039002020
40,2,20,C0040002020
41,2,20,C0041002020
42,2,20,C0042002020
43,2,20,C0043002020
44,2,20,C0044002020
45,2,20,C0045002020
46,2,20,C0046002020
47,2,20,C0047002020
48,2,20,C0048002020
49,2,20,C0049002020
50,2,20,C0050002020
51,2,20,C0051002020
52,2,20,C0052002020
53,2,20,C0053002020
54,2,20,C0054002020
55,2,20,C0055002020
56,2,20,C0056002020
57,2,20,C0057002020
58,2,20,C0058002020
59,2,20,C0059002020
60,2,20,C0060002020
61,2,20,C0061002020
62,2,20,C0062002020
63,2,20,C0063002020
64,2,20,C0064002020
65,2,20,C0065002020
66,2,20,C0066002020
67,2,20,C0067002020
68,2,20,C0068002020
69,2,20,C0069002020
70,2,20,C0070002020
71,2,20,C0071002020
72,2,20,C0072002020
73,2,20,C0073002020
74,2,20,C0074002020
75,2,20,C0075002020
76,2,20,C0076002020
77,2,20,C0077002020
78,2,20,C0078002020
79,2,20,C0079002020
80,2,20,C0080002020
81,2,20,C0081002020
82,2,20,C0082002020
83,2,20,C0083002020
84,2,20,C0084002020
85,2,20,C0085002020
86,2,20,C0086002020
87,2,20,C0087002020
88,2,20,C0088002020
89,2,20,C0089002020
90,2,20,C0090002020
91,2,20,C0091002020
92,2,20,C0092002020
93,2,20,C0093002020
94,2,20,C0094002020
95,2,20,C0095002020
96,2,20,C0096002020
97,2,20,C0097002020
98,2,20,C0098002020
99,2,20,C0099002020
100,2,20,C0100002020
101,2,20,C0101002020
102,2,20,C0102002020
103,2,20,C0103002020
104,2,20,C0104002020
105,2,20,C0105002020
106,2,20,C0106002020
107,2,20,C0107002020
108,2,20,C0108002020
109,2,20,C0109002020
110,2,20,C0110002020
111,2,20,C0111002020
112,2,20,C0112002020
113,2,20,C0113002020
114,2,20,C0114002020
115,2,20,C0115002020
116,2,20,C0116002020
117,2,20,C0117002020
118,2,20,C0118002020
119,2,20,C0119002020
120,2,20,C0120002020
121,2,20,C0121002020
122,2,20,C0122002020
123,2,20,C0123002020
124,2,20,C0124002020
125,2,20,C0125002020
126,2,20,C0126002020
127,2,20,C0127002020
128,2,20,C0128002020
129,2,20,C0129002020
130,2,20,C0130002020
131,2,20,C0131002020
132,2,20,C0132002020
133,2,20,C0133002020
134,2,20,C0134002020
135,2,20,C0135002020
136,2,20,C0136002020
137,2,20,C0137002020
138,2,20,C0138002020
139,2,20,C0139002020
140,2,20,C0140002020
1,3,10,C0001003010
2,3,10,C0002003010
3,3,10,C0003003010
4,3,10,C0004003010
5,3,10,C0005003010
6,3,10,C0006003010
7,3,10,C0007003010
8,3,10,C0008003010
9,3,10,C0009003010
10,3,10,C0010003010
11,3,10,C0011003010
12,3,10,C0012003010
13,3,10,C0013003010
14,3,10,C0014003010
15,3,10,C0015003010
16,3,10,C0016003010
17,3,10,C0017003010
18,3,10,C0018003010
19,3,10,C0019003010
20,3,10,C0020003010
21,3,10,C0021003010
22,3,10,C0022003010
23,3,10,C0023003010
24,3,10,C0024003010
25,3,10,C0025003010
26,3,10,C0026003010
27,3,10,C0027003010
28,3,10,C0028003010
29,3,10,C0029003010
30,3,10,C0030003010
31,3,10,C0031003010
32,3,10,C0032003010
33,3,10,C0033003010
34,3,10,C0034003010
35,3,10,C0035003010
36,3,10,C0036003010
37,3,10,C0037003010
38,3,10,C0038003010
39,3,10,C0039003010
40,3,10,C0040003010
41,3,10,C0041003010
42,3,10,C0042003010
43,3,10,C0043003010
44,3,10,C0044003010
45,3,10,C0045003010
46,3,10,C0046003010
47,3,10,C0047003010
48,3,10,C0048003010
49,3,10,C0049003010
50,3,10,C0050003010
51,3,10,C0051003010
52,3,10,C0052003010
53,3,10,C0053003010
54,3,10,C0054003010
55,3,10,C0055003010
56,3,10,C0056003010
57,3,10,C0057003010
58,3,10,C0058003010
59,3,10,C0059003010
60,3,10,C0060003010
61,3,10,C0061003010
62,3,10,C0062003010
63,3,10,C0063003010
64,3,10,C0064003010
65,3,10,C0065003010
66,3,10,C0066003010
67,3,10,C0067003010
68,3,10,C0068003010
69,3,10,C0069003010
70,3,10,C0070003010
71,3,10,C0071003010
72,3,10,C0072003010
73,3,10,C0073003010
74,3,10,C0074003010
75,3,10,C0075003010
76,3,10,C0076003010
77,3,10,C0077003010
78,3,10,C0078003010
79,3,10,C0079003010
80,3,10,C0080003010
81,3,10,C0081003010
82,3,10,C0082003010
83,3,10,C0083003010
84,3,10,C0084003010
85,3,10,C0085003010
86,3,10,C0086003010
87,3,10,C0087003010
88,3,10,C0088003010
89,3,10,C0089003010
90,3,10,C0090003010
91,3,10,C0091003010
92,3,10,C0092003010
93,3,10,C0093003010
94,3,10,C0094003010
95,3,10,C0095003010
96,3,10,C0096003010
97,3,10,C0097003010
98,3,10,C0098003010
99,3,10,C0099003010
100,3,10,C0100003010
101,3,10,C0101003010
102,3,10,C0102003010
103,3,10,C0103003010
104,3,10,C0104003010
105,3,10,C0105003010
106,3,10,C0106003010
107,3,10,C0107003010
108,3,10,C0108003010
109,3,10,C0109003010
110,3,10,C0110003010
111,3,10,C0111003010
112,3,10,C0112003010
113,3,10,C0113003010
114,3,10,C0114003010
115,3,10,C0115003010
116,3,10,C0116003010
117,3,10,C0117003010
118,3,10,C0118003010
119,3,10,C0119003010
120,3,10,C0120003010
121,3,10,C0121003010
122,3,10,C0122003010
123,3,10,C0123003010
124,3,10,C0124003010
125,3,10,C0125003010
126,3,10,C0126003010
127,3,10,C0127003010
128,3,10,C0128003010
129,3,10,C0129003010
130,3,10,C0130003010
131,3,10,C0131003010
132,3,10,C0132003010
133,3,10,C0133003010
134,3,10,C0134003010
135,3,10,C0135003010
136,3,10,C0136003010
137,3,10,C0137003010
138,3,10,C0138003010
139,3,10,C0139003010
140,3,10,C0140003010
1,3,20,C0001003020
2,3,20,C0002003020
3,3,20,C0003003020
4,3,20,C0004003020
5,3,20,C0005003020
6,3,20,C0006003020
7,3,20,C0007003020
8,3,20,C0008003020
9,3,20,C0009003020
10,3,20,C0010003020
11,3,20,C0011003020
12,3,20,C0012003020
13,3,20,C0013003020
14,3,20,C0014003020
15,3,20,C0015003020
16,3,20,C0016003020
17,3,20,C0017003020
18,3,20,C0018003020
19,3,20,C0019003020
20,3,20,C0020003020
21,3,20,C0021003020
22,3,20,C0022003020
23,3,20,C0023003020
24,3,20,C0024003020
25,3,20,C0025003020
26,3,20,C0026003020
27,3,20,C0027003020
28,3,20,C0028003020
29,3,20,C0029003020
30,3,20,C0030003020
31,3,20,C0031003020
32,3,20,C0032003020
33,3,20,C0033003020
34,3,20,C0034003020
35,3,20,C0035003020
36,3,20,C0036003020
37,3,20,C0037003020
38,3,20,C0038003020
39,3,20,C0039003020
40,3,20,C0040003020
41,3,20,C0041003020
42,3,20,C0042003020
43,3,20,C0043003020
44,3,20,C0044003020
45,3,20,C0045003020
46,3,20,C0046003020
47,3,20,C0047003020
48,3,20,C0048003020
49,3,20,C0049003020
50,3,20,C0050003020
51,3,20,C0051003020
52,3,20,C0052003020
53,3,20,C0053003020
54,3,20,C0054003020
55,3,20,C0055003020
56,3,20,C0056003020
57,3,20,C0057003020
58,3,20,C0058003020
59,3,20,C0059003020
60,3,20,C0060003020
61,3,20,C0061003020
62,3,20,C0062003020
63,3,20,C0063003020
64,3,20,C0064003020
65,3,20,C0065003020
66,3,20,C0066003020
67,3,20,C0067003020
68,3,20,C0068003020
69,3,20,C0069003020
70,3,20,C0070003020
71,3,20,C0071003020
72,3,20,C0072003020
73,3,20,C0073003020
74,3,20,C0074003020
75,3,20,C0075003020
76,3,20,C0076003020
77,3,20,C0077003020
78,3,20,C0078003020
79,3,20,C0079003020
80,3,20,C0080003020
81,3,20,C0081003020
82,3,20,C0082003020
83,3,20,C0083003020
84,3,20,C0084003020
85,3,20,C0085003020
86,3,20,C0086003020
87,3,20,C0087003020
88,3,20,C0088003020
89,3,20,C0089003020
90,3,20,C0090003020
91,3,20,C0091003020
92,3,20,C0092003020
93,3,20,C0093003020
94,3,20,C0094003020
95,3,20,C0095003020
96,3,20,C0096003020
97,3,20,C0097003020
98,3,20,C0098003020
99,3,20,C0099003020
100,3,20,C0100003020
101,3,20,C0101003020
102,3,20,C0102003020
103,3,20,C0103003020
104,3,20,C0104003020
105,3,20,C0105003020
106,3,20,C0106003020
107,3,20,C0107003020
108,3,20,C0108003020
109,3,20,C0109003020
110,3,20,C0110003020
111,3,20,C0111003020
112,3,20,C0112003020
113,3,20,C0113003020
114,3,20,C0114003020
115,3,20,C0115003020
116,3,20,C0116003020
117,3,20,C0117003020
118,3,20,C0118003020
119,3,20,C0119003020
120,3,20,C0120003020
121,3,20,C0121003020
122,3,20,C0122003020
123,3,20,C0123003020
124,3,20,C0124003020
125,3,20,C0125003020
126,3,20,C0126003020
127,3,20,C0127003020
128,3,20,C0128003020
129,3,20,C0129003020
130,3,20,C0130003020
131,3,20,C0131003020
132,3,20,C0132003020
133,3,20,C0133003020
134,3,20,C0134003020
135,3,20,C0135003020
136,3,20,C0136003020
137,3,20,C0137003020
138,3,20,C0138003020
139,3,20,C0139003020
140,3,20,C0140003020
1,4,10,C0001004010
2,4,10,C0002004010
3,4,10,C0003004010
4,4,10,C0004004010
